sample	category	filename	relative_path	size_bytes	size_human	url
T2T05	assembly	T2T05.hap1.fasta	assemblies/T2T05/T2T05.hap1.fasta	3021236027	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T05&files=T2T05.hap1.fasta
T2T05	assembly	T2T05.hap2.fasta	assemblies/T2T05/T2T05.hap2.fasta	2916269451	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T05&files=T2T05.hap2.fasta
T2T06	assembly	T2T06.combined.fasta	assemblies/T2T06/T2T06.combined.fasta	6023425600	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T06&files=T2T06.combined.fasta
T2T06	assembly	T2T06.contig_pofo_assignment.tsv	assemblies/T2T06/T2T06.contig_pofo_assignment.tsv	72897	71.2KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T06&files=T2T06.contig_pofo_assignment.tsv
T2T06	assembly	T2T06.hap1.fasta	assemblies/T2T06/T2T06.hap1.fasta	3015377711	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T06&files=T2T06.hap1.fasta
T2T06	assembly	T2T06.hap2.fasta	assemblies/T2T06/T2T06.hap2.fasta	2920903424	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T06&files=T2T06.hap2.fasta
T2T07	assembly	T2T07.combined.fasta	assemblies/T2T07/T2T07.combined.fasta	6151422131	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T07&files=T2T07.combined.fasta
T2T07	assembly	T2T07.contig_pofo_assignment.tsv	assemblies/T2T07/T2T07.contig_pofo_assignment.tsv	90480	88.4KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T07&files=T2T07.contig_pofo_assignment.tsv
T2T07	assembly	T2T07.hap1.fasta	assemblies/T2T07/T2T07.hap1.fasta	3029053301	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T07&files=T2T07.hap1.fasta
T2T07	assembly	T2T07.hap2.fasta	assemblies/T2T07/T2T07.hap2.fasta	3036187639	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T07&files=T2T07.hap2.fasta
T2T08	assembly	T2T08.combined.fasta	assemblies/T2T08/T2T08.combined.fasta	6106400686	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T08&files=T2T08.combined.fasta
T2T08	assembly	T2T08.contig_pofo_assignment.tsv	assemblies/T2T08/T2T08.contig_pofo_assignment.tsv	42109	41.1KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T08&files=T2T08.contig_pofo_assignment.tsv
T2T08	assembly	T2T08.hap1.fasta	assemblies/T2T08/T2T08.hap1.fasta	3030397090	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T08&files=T2T08.hap1.fasta
T2T08	assembly	T2T08.hap2.fasta	assemblies/T2T08/T2T08.hap2.fasta	3019325714	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T08&files=T2T08.hap2.fasta
T2T09	assembly	T2T09.combined.fasta	assemblies/T2T09/T2T09.combined.fasta	6008802574	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T09&files=T2T09.combined.fasta
T2T09	assembly	T2T09.contig_pofo_assignment.tsv	assemblies/T2T09/T2T09.contig_pofo_assignment.tsv	60025	58.6KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T09&files=T2T09.contig_pofo_assignment.tsv
T2T09	assembly	T2T09.hap1.fasta	assemblies/T2T09/T2T09.hap1.fasta	3025620400	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T09&files=T2T09.hap1.fasta
T2T09	assembly	T2T09.hap2.fasta	assemblies/T2T09/T2T09.hap2.fasta	2915408864	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T09&files=T2T09.hap2.fasta
T2T10	assembly	T2T10.combined.fasta	assemblies/T2T10/T2T10.combined.fasta	6203020924	5.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T10&files=T2T10.combined.fasta
T2T10	assembly	T2T10.contig_pofo_assignment.tsv	assemblies/T2T10/T2T10.contig_pofo_assignment.tsv	135021	131.9KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T10&files=T2T10.contig_pofo_assignment.tsv
T2T10	assembly	T2T10.hap1.fasta	assemblies/T2T10/T2T10.hap1.fasta	3176396257	3.0GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T10&files=T2T10.hap1.fasta
T2T10	assembly	T2T10.hap2.fasta	assemblies/T2T10/T2T10.hap2.fasta	2877740208	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T10&files=T2T10.hap2.fasta
T2T11	assembly	T2T11.combined.fasta	assemblies/T2T11/T2T11.combined.fasta	6067909032	5.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T11&files=T2T11.combined.fasta
T2T11	assembly	T2T11.contig_pofo_assignment.tsv	assemblies/T2T11/T2T11.contig_pofo_assignment.tsv	74790	73.0KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T11&files=T2T11.contig_pofo_assignment.tsv
T2T11	assembly	T2T11.hap1.fasta	assemblies/T2T11/T2T11.hap1.fasta	3048903348	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T11&files=T2T11.hap1.fasta
